# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x), idx_c=2 (tp)
# range_a=[0.24, 0.5], steps_a=6
# range_b=[-0.06, -0.4], steps_b=6
# range_c=[0.6, 1.4], steps_c=6
length,delta_x,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.396,-0.196,1.24,0.32639708,0.017239986,0.038360887,0.0070050132,0.014265672,0.49310817,3.7860333,0.36379552,1.8874089,0.022142313
0.396,-0.196,1.4,0.34458708,0.017446005,0.039687384,0.0066730044,0.013952323,0.4733415,3.7424707,0.34513103,1.9487274,0.024056446
0.396,-0.264,0.6,0.18911808,0.01625266,0.038061449,0.017346015,0.030615211,0.92102998,5.0488116,1.2950294,4.4232365,0.020142447
0.396,-0.264,0.76,0.22544808,0.016911215,0.038741951,0.011700541,0.022062238,0.73015324,4.5229872,0.82484078,3.3882903,0.019906113
0.396,-0.264,0.92,0.25702108,0.0171172,0.038776901,0.0094139944,0.018476807,0.62546043,4.2088759,0.61660367,2.8539459,0.020650375
0.396,-0.264,1.08,0.28373308,0.0171349,0.038580329,0.0083851981,0.01667655,0.57856735,4.1194514,0.50810311,2.4303432,0.021788472
0.396,-0.264,1.24,0.30609908,0.016911975,0.037851805,0.0078865748,0.015803519,0.52099288,3.8486539,0.47352168,2.5431761,0.024546802
0.396,-0.264,1.4,0.32486108,0.01712433,0.039035758,0.0074651337,0.015373871,0.5071201,3.8773206,0.43604448,2.4379862,0.026228593
0.396,-0.332,0.6,0.17872908,0.015590561,0.037673166,0.021199216,0.036184504,0.86669121,4.283695,1.6373684,5.8812595,0.022112326
0.396,-0.332,0.76,0.21295308,0.016021144,0.035998236,0.013493322,0.024743547,0.80014194,4.744853,0.98782875,3.8707453,0.020672427
0.396,-0.332,0.92,0.24345308,0.016516592,0.037187768,0.010600088,0.02046039,0.66914359,4.3433055,0.74053487,3.360044,0.021656271
0.396,-0.332,1.08,0.26974108,0.016707592,0.03733672,0.0091833771,0.01809096,0.63627122,4.4028028,0.5833481,2.6419464,0.022044259
0.396,-0.332,1.24,0.29221308,0.017240448,0.039717435,0.0084701993,0.01696457,0.58419219,4.2500977,0.51937331,2.513441,0.023973351
0.396,-0.332,1.4,0.31118708,0.016750091,0.037750594,0.0080953816,0.016460663,0.55219279,4.1313433,0.48888405,2.5324402,0.026409474
0.396,-0.4,0.6,0.17155308,0.015839423,0.039863144,0.023591794,0.040087387,0.93137591,4.3954324,1.7964286,6.2186389,0.02189809
0.396,-0.4,0.76,0.20392308,0.016469738,0.039014082,0.014958935,0.027108918,0.8304349,4.835769,1.1292835,4.4117458,0.021206497
0.396,-0.4,0.92,0.23353308,0.016259306,0.036509223,0.011451879,0.021872355,0.73767278,4.6880731,0.81292887,3.4829559,0.021425134
0.396,-0.4,1.08,0.25945908,0.01650127,0.037002623,0.0098932916,0.019355521,0.66585565,4.4999064,0.66259141,2.9934668,0.022720504
0.396,-0.4,1.24,0.28182508,0.017113343,0.039615626,0.009031813,0.01799185,0.6189108,4.4175617,0.57609231,2.7097825,0.024290763
