X(mm),Y(mm),Z(mm)
-35.396775,-888.274546,0.000000
-35.356770,-888.161546,0.000000
-35.316765,-888.048546,0.000000
-35.276759,-887.935546,0.000000
-35.236754,-887.822546,0.000000
-35.196749,-887.709546,0.000000
-35.156744,-887.596546,0.000000
-35.116738,-887.483546,0.000000
-35.076733,-887.370546,0.000000
-35.036728,-887.257546,0.000000
-34.996723,-887.144546,0.000000
-34.956717,-887.031546,0.000000
-34.916712,-886.918546,0.000000
-34.876707,-886.805546,0.000000
-34.836702,-886.692546,0.000000
-34.796696,-886.579546,0.000000
-34.756691,-886.466546,0.000000
-34.716686,-886.353546,0.000000
-34.676681,-886.240546,0.000000
-34.636675,-886.127546,0.000000
-34.596670,-886.014546,0.000000
-34.556665,-885.901546,0.000000
-34.516660,-885.788546,0.000000
-34.476654,-885.675546,0.000000
-34.436649,-885.562546,0.000000
-34.396644,-885.449546,0.000000
-34.356639,-885.336546,0.000000
-34.316633,-885.223546,0.000000
-34.276628,-885.110546,0.000000
-34.236623,-884.997546,0.000000
-34.196618,-884.884546,0.000000
-34.156612,-884.771546,0.000000
-34.116607,-884.658546,0.000000
-34.076602,-884.545546,0.000000
-34.036597,-884.432546,0.000000
-33.996591,-884.319546,0.000000
-33.956586,-884.206546,0.000000
-33.916581,-884.093546,0.000000
-33.876576,-883.980546,0.000000
-33.836570,-883.867546,0.000000
-33.796565,-883.754546,0.000000
-33.756560,-883.641546,0.000000
-33.716555,-883.528546,0.000000
-33.676550,-883.415546,0.000000
-33.636544,-883.302546,0.000000
-33.596539,-883.189546,0.000000
-33.556534,-883.076546,0.000000
-33.516529,-882.963546,0.000000
-33.476523,-882.850546,0.000000
-33.436518,-882.737546,0.000000
-33.396513,-882.624546,0.000000
-33.356508,-882.511546,0.000000
-33.316502,-882.398546,0.000000
-33.276497,-882.285546,0.000000
-33.236492,-882.172546,0.000000
-33.196487,-882.059546,0.000000
-33.156481,-881.946546,0.000000
-33.116476,-881.833546,0.000000
-33.076471,-881.720546,0.000000
-33.036466,-881.607546,0.000000
-32.996460,-881.494546,0.000000
-32.956455,-881.381546,0.000000
-32.916450,-881.268546,0.000000
-32.876445,-881.155546,0.000000
-32.836439,-881.042546,0.000000
-32.796434,-880.929546,0.000000
-32.756429,-880.816546,0.000000
-32.716424,-880.703546,0.000000
-32.676418,-880.590546,0.000000
-32.636413,-880.477546,0.000000
-32.596408,-880.364546,0.000000
-32.556403,-880.251546,0.000000
-32.516397,-880.138546,0.000000
-32.476392,-880.025546,0.000000
-32.436387,-879.912546,0.000000
-32.396382,-879.799546,0.000000
-32.356376,-879.686546,0.000000
-32.316371,-879.573546,0.000000
