# zone=Trailing
# idx_a=1 (length), idx_b=2 (tp)
# range_a=[0.5, 0.8], steps_a=10
# range_b=[1.05, 1.3], steps_b=10
length,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.66666667,1.3,0.78366667,0.014828614,0.01521209,0.0047607566,0.0079157939,0.057980967,0.1667385,0.022774817,0.046835479,0.012381787
0.7,1.05,0.817,0.014895889,0.015217748,0.0040014721,0.0079157486,0.059509676,0.14099798,0.019593623,0.056207058,0.011821426
0.7,1.0777778,0.817,0.014892958,0.015215143,0.0040658326,0.0079157486,0.051206086,0.15340451,0.018990444,0.059503945,0.011457511
0.7,1.1055556,0.817,0.014889899,0.015213495,0.0041317863,0.0079157486,0.06434432,0.16582566,0.018867429,0.053249194,0.011383292
0.7,1.1333333,0.817,0.014886443,0.015210991,0.0041971071,0.0079157486,0.059094946,0.16238507,0.018756036,0.053258151,0.011316085
0.7,1.1611111,0.817,0.014882737,0.015210031,0.0042651351,0.0079157486,0.063622982,0.17019759,0.018762155,0.047940315,0.011319777
0.7,1.1888889,0.817,0.014878866,0.015207717,0.0043330308,0.0079157486,0.065887087,0.16750957,0.019043359,0.045490905,0.011489436
0.7,1.2166667,0.817,0.014874895,0.015207297,0.0044002849,0.0079157486,0.062051441,0.16622403,0.019144697,0.046730744,0.011550576
0.7,1.2444444,0.817,0.014871018,0.015206555,0.0044643453,0.0079157486,0.060512811,0.17869257,0.01909922,0.044026811,0.011523138
0.7,1.2722222,0.817,0.014866683,0.015205074,0.0045316423,0.0079157486,0.063446283,0.16768731,0.019499782,0.04374616,0.01176481
0.7,1.3,0.817,0.014862108,0.015206161,0.0045977091,0.0079157486,0.060087772,0.17033948,0.019809328,0.042132074,0.011951568
0.73333333,1.05,0.85033333,0.014922635,0.015209896,0.0038590623,0.0079157636,0.053122911,0.15559117,0.016684351,0.054335609,0.011124547
0.73333333,1.0777778,0.85033333,0.014919818,0.015207688,0.003926006,0.0079157636,0.054040332,0.15729542,0.016367164,0.04769221,0.010913058
0.73333333,1.1055556,0.85033333,0.014917028,0.015205068,0.0039919024,0.0079157636,0.060714975,0.16208191,0.016297203,0.051893514,0.01086641
0.73333333,1.1333333,0.85033333,0.01491402,0.015204301,0.0040593282,0.0079157636,0.058730929,0.15263739,0.016220758,0.045011356,0.010815439
0.73333333,1.1611111,0.85033333,0.014910941,0.015203324,0.0041253663,0.0079157636,0.065384554,0.17120382,0.016352291,0.046491174,0.010903141
0.73333333,1.1888889,0.85033333,0.014907036,0.015201533,0.0041938935,0.0079157636,0.062320793,0.16583146,0.016625865,0.043251375,0.011085551
0.73333333,1.2166667,0.85033333,0.014903506,0.015201471,0.0042590593,0.0079157636,0.055311952,0.16436519,0.016437433,0.043929356,0.010959911
0.73333333,1.2444444,0.85033333,0.014899676,0.015201285,0.0043257691,0.0079157636,0.056187411,0.17269113,0.016733611,0.041813387,0.011157391
0.73333333,1.2722222,0.85033333,0.014895826,0.015201145,0.0043905654,0.0079157636,0.059295912,0.16714381,0.01698133,0.039367255,0.011322562
0.73333333,1.3,0.85033333,0.014891856,0.015201332,0.0044536966,0.0079157636,0.063743378,0.15780387,0.017432505,0.041045026,0.01162339
0.76666667,1.05,0.88366667,0.014945228,0.015202922,0.0037512904,0.0079157879,0.066055556,0.16247288,0.014999494,0.050180717,0.011010265
0.76666667,1.0777778,0.88366667,0.01494279,0.015200889,0.0038169126,0.0079157879,0.059849134,0.15608511,0.014718274,0.047067996,0.010803838
0.76666667,1.1055556,0.88366667,0.014939962,0.015199151,0.003884898,0.0079157879,0.059208998,0.15024542,0.014548594,0.042264966,0.010679286
0.76666667,1.1333333,0.88366667,0.014937153,0.015198634,0.0039525919,0.0079157879,0.068493372,0.1663876,0.014716559,0.044643261,0.010802579
0.76666667,1.1611111,0.88366667,0.01493407,0.015198168,0.0040198791,0.0079157879,0.068967222,0.16452637,0.014594916,0.040150806,0.010713288
0.76666667,1.1888889,0.88366667,0.014930727,0.015197687,0.0040871286,0.0079157879,0.064907425,0.15895926,0.014713547,0.042932065,0.010800368
0.76666667,1.2166667,0.88366667,0.01492734,0.015196897,0.0041521827,0.0079157879,0.070017073,0.15878364,0.014802329,0.040810324,0.010865538
0.76666667,1.2444444,0.88366667,0.014923824,0.015197362,0.0042189505,0.0079157879,0.059550771,0.17174488,0.014762468,0.037486782,0.010836278
0.76666667,1.2722222,0.88366667,0.014920175,0.015197881,0.004282313,0.0079157879,0.062263406,0.15529127,0.015072351,0.034020873,0.011063746
