# zone=Leading
# idx_a=0 (length), idx_b=1 (tp)
# range_a=[0.55, 0.7], steps_a=10
# range_b=[1.0, 1.3], steps_b=10
length,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.61666667,1.1333333,0.73266667,0.013852139,0.014999835,0.013378712,0.021019272,0.047562627,0.14128539,0.036416279,0.080515388,0.016732531
0.61666667,1.1666667,0.73266667,0.013847346,0.014999816,0.013415029,0.02116794,0.04609972,0.12871773,0.036319606,0.083397877,0.016688112
0.61666667,1.2,0.73266667,0.013842452,0.014999825,0.013449103,0.021313851,0.044898063,0.15267919,0.036351528,0.091358933,0.01670278
0.61666667,1.2333333,0.73266667,0.013837154,0.014999821,0.013487673,0.021475034,0.047310381,0.14089224,0.036412589,0.088451509,0.016730836
0.61666667,1.2666667,0.73266667,0.013831713,0.014999817,0.01352609,0.021644484,0.048584985,0.11957461,0.037062387,0.096733371,0.017029405
0.61666667,1.3,0.73266667,0.013825988,0.014999816,0.013565705,0.021805893,0.046874766,0.11867987,0.03765132,0.096086648,0.017300007
0.63333333,1,0.74933333,0.013906483,0.014999818,0.013076646,0.020372548,0.048497681,0.13172239,0.037410649,0.079329918,0.018183726
0.63333333,1.0333333,0.74933333,0.013903428,0.014999833,0.01310679,0.020359878,0.049422614,0.12547709,0.035683374,0.076439482,0.017344171
0.63333333,1.0666667,0.74933333,0.013899789,0.014999825,0.013137385,0.020405554,0.04194503,0.11409585,0.034496426,0.073731809,0.016767246
0.63333333,1.1,0.74933333,0.013895703,0.014999819,0.013171335,0.020485701,0.048316821,0.13583827,0.034442729,0.081438686,0.016741146
0.63333333,1.1333333,0.74933333,0.013891499,0.014999823,0.013205811,0.02058481,0.043222494,0.13561065,0.033679307,0.076737818,0.016370079
0.63333333,1.1666667,0.74933333,0.013886833,0.014999829,0.013242097,0.020719351,0.044818467,0.13964259,0.03359271,0.083615435,0.016327988
