# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x)
# range_a=[0.3, 0.6], steps_a=10
# range_b=[-0.06, -0.2], steps_b=10
length,delta_x,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.6,-0.06,0.64325708,0.018511517,0.039735921,0.0035225615,0.0060907116,0.16582977,1.7408237,0.044817268,0.44825866,0.014873282
0.6,-0.075555556,0.59584308,0.018370883,0.039785057,0.0036889511,0.0066267668,0.1949294,1.9874826,0.064815243,0.64038203,0.017762615
0.6,-0.091111111,0.56320308,0.018016523,0.038840336,0.0038558019,0.0072881076,0.22481672,2.2515013,0.070989343,0.63092821,0.016898794
0.6,-0.10666667,0.53867308,0.018150567,0.039655148,0.0039663176,0.0077103425,0.23101214,2.2589508,0.079614591,0.67547049,0.016955314
0.6,-0.12222222,0.51942308,0.017969105,0.039206413,0.0040818328,0.0080455158,0.24519468,2.3652794,0.092004293,0.77679203,0.017890035
0.6,-0.13777778,0.50363608,0.017911567,0.039201855,0.0041793112,0.0082738028,0.2564199,2.4449347,0.10687807,0.91424108,0.01923892
0.6,-0.15333333,0.49033808,0.018069646,0.039947875,0.0042754842,0.0087640375,0.27495056,2.5940565,0.11164507,0.88395401,0.01879657
0.6,-0.16888889,0.47889308,0.017705607,0.03869422,0.0043760206,0.0090162362,0.28311984,2.6377805,0.12094783,0.93583348,0.019195281
0.6,-0.18444444,0.46897408,0.017617446,0.038487511,0.004464668,0.0091942048,0.29156258,2.6885698,0.13383017,1.053387,0.020157011
0.6,-0.2,0.46022508,0.01784938,0.039591585,0.0045205374,0.0093069005,0.31308745,2.8594337,0.15407677,1.2528654,0.022139247
