Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
12.558005,-0712757,-0574374,12.596857,-1159963,+0377035,16:34:55.182222
12.601920,-0712485,-0574249,12.641028,-1159848,+0377076,16:34:55.182222
12.645841,-0712429,-0574349,12.685275,-1160078,+0377154,16:34:55.584516
12.689737,-0712756,-0574311,12.729446,-1159946,+0377054,16:34:55.584516
12.733669,-0712655,-0574305,12.773699,-1159879,+0377085,16:34:55.584516
12.777583,-0712607,-0574398,12.817869,-1160144,+0377105,16:34:55.584516
12.821503,-0712584,-0574335,12.862039,-1159934,+0377085,16:34:55.584516
12.865419,-0712211,-0574289,12.906209,-1159870,+0377100,16:34:55.584516
12.909349,-0712825,-0574372,12.950380,-1160134,+0377083,16:34:55.584516
12.953311,-0712459,-0574366,12.994588,-1159864,+0377110,16:34:55.584516
12.997225,-0712329,-0574377,13.038758,-1159961,+0377105,16:34:55.584516
13.041139,-0712717,-0574350,13.082931,-1160101,+0377162,16:34:55.994271
13.085055,-0712241,-0574420,13.127102,-1159882,+0377093,16:34:55.994271
13.128969,-0712410,-0574297,13.171274,-1159976,+0377207,16:34:55.994271
13.172886,-0712605,-0574358,13.215445,-1160089,+0377044,16:34:55.994271
13.216798,-0712404,-0574417,13.259658,-1159901,+0377012,16:34:55.994271
13.260697,-0712555,-0574400,13.303829,-1159972,+0377151,16:34:55.994271
13.304654,-0712555,-0574481,13.348000,-1160077,+0377128,16:34:55.994271
13.348538,-0712290,-0574258,13.392216,-1159887,+0377088,16:34:55.994271
13.392425,-0712793,-0574469,13.436428,-1160051,+0377195,16:34:55.995774
13.436341,-0712442,-0574350,13.480663,-1160028,+0377050,16:34:55.995774
13.480253,-0712364,-0574339,13.524877,-1159802,+0377143,16:34:56.414526
13.524137,-0712717,-0574444,13.569124,-1160120,+0377236,16:34:56.416030
13.568055,-0712304,-0574364,13.613298,-1159981,+0377027,16:34:56.416030
13.611995,-0712507,-0574389,13.657469,-1159865,+0377127,16:34:56.416030
13.655929,-0712632,-0574376,13.701646,-1160163,+0377163,16:34:56.416030
13.699866,-0712195,-0574368,13.745816,-1160006,+0377063,16:34:56.416030
13.743788,-0713072,-0574322,13.789991,-1159894,+0377130,16:34:56.416030
13.787705,-0712548,-0574440,13.834225,-1160138,+0377050,16:34:56.416030
13.831622,-0712382,-0574292,13.878406,-1159982,+0376998,16:34:56.416030
13.875533,-0712686,-0574377,13.922619,-1159909,+0377181,16:34:56.796849
13.919410,-0712363,-0574354,13.966832,-1160083,+0377118,16:34:56.797851
13.963334,-0712362,-0574327,14.011009,-1159868,+0377107,16:34:56.797851
14.007249,-0712768,-0574365,14.055223,-1159933,+0377133,16:34:56.798855
14.051136,-0712267,-0574396,14.099438,-1160088,+0377133,16:34:56.798855
14.095049,-0712462,-0574297,14.143651,-1159901,+0377088,16:34:56.798855
14.138931,-0712872,-0574429,14.187850,-1159946,+0377161,16:34:56.798855
14.182850,-0712247,-0574322,14.232024,-1160086,+0377096,16:34:56.798855
14.226776,-0712718,-0574346,14.276247,-1159867,+0377061,16:34:56.798855
14.270693,-0712573,-0574361,14.320440,-1160044,+0377265,16:34:57.252619
14.314584,-0712310,-0574339,14.364611,-1160057,+0377091,16:34:57.252619
14.358528,-0712779,-0574441,14.408816,-1159874,+0377060,16:34:57.252619
14.402439,-0712333,-0574413,14.453031,-1160010,+0377192,16:34:57.252619
14.446320,-0712602,-0574310,14.497277,-1160039,+0377145,16:34:57.253616
14.490200,-0712731,-0574401,14.541493,-1159783,+0377130,16:34:57.253616
14.534097,-0712357,-0574357,14.585695,-1160038,+0377235,16:34:57.253616
14.578014,-0712542,-0574308,14.629894,-1159971,+0377106,16:34:57.253616
14.621977,-0712756,-0574377,14.674106,-1159770,+0377167,16:34:57.253616
14.665869,-0712254,-0574358,14.718354,-1160151,+0377220,16:34:57.253616
14.709818,-0712716,-0574430,14.762526,-1159999,+0377170,16:34:57.640318
14.753707,-0712695,-0574281,14.806771,-1159865,+0377160,16:34:57.640318
14.797589,-0712250,-0574370,14.850986,-1160075,+0377172,16:34:57.640318
14.841486,-0712823,-0574370,14.895190,-1159865,+0377060,16:34:57.640318
14.885406,-0712345,-0574352,14.939413,-1159856,+0377184,16:34:57.640318
14.929348,-0712403,-0574363,14.983627,-1160081,+0377148,16:34:57.640318
14.973268,-0712723,-0574400,15.027801,-1159918,+0377082,16:34:57.640318
15.017223,-0712234,-0574377,15.071976,-1159883,+0377257,16:34:57.640318
15.061107,-0712728,-0574378,15.116220,-1160094,+0377179,16:34:57.640318
15.104986,-0712558,-0574342,15.160433,-1159845,+0377124,16:34:58.025802
15.148867,-0712273,-0574350,15.204647,-1159918,+0377169,16:34:58.025802
15.192746,-0712662,-0574387,15.248863,-1160095,+0377141,16:34:58.025802
15.236626,-0712565,-0574394,15.293093,-1159832,+0377099,16:34:58.025802
15.280521,-0712351,-0574394,15.337314,-1159950,+0377203,16:34:58.025802
15.324410,-0712767,-0574421,15.381537,-1160018,+0377144,16:34:58.025802
15.368287,-0712589,-0574323,15.425782,-1159846,+0377038,16:34:58.025802
15.412168,-0712689,-0574382,15.469996,-1160000,+0377221,16:34:58.025802
15.456047,-0712759,-0574399,15.514275,-1159999,+0377128,16:34:58.025802
15.543847,-0712315,-0574392,15.558521,-1159794,+0377121,16:34:58.448786
