Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
3.734811,-0715540,-0583255,3.747955,-1163538,+0370952,21:48:55.418451
3.754983,-0715526,-0583020,3.758054,-1163950,+0371271,21:48:55.418451
3.765038,-0716392,-0583256,3.768109,-1163059,+0370985,21:48:55.418451
3.775096,-0716267,-0583255,3.778166,-1163999,+0371188,21:48:55.418451
3.785148,-0715546,-0583219,3.788217,-1163380,+0370926,21:48:55.474501
3.805377,-0716938,-0583222,3.808449,-1163360,+0371175,21:48:55.474501
3.815432,-0716238,-0583205,3.818501,-1163036,+0371043,21:48:55.474501
3.825513,-0716416,-0583260,3.828584,-1163928,+0371135,21:48:55.474501
3.835565,-0715492,-0583137,3.838638,-1163342,+0370869,21:48:55.474501
3.845641,-0716910,-0583244,3.848710,-1163308,+0371261,21:48:55.474501
3.855691,-0715598,-0583108,3.858762,-1164003,+0370815,21:48:55.521277
3.875846,-0716578,-0583235,3.878917,-1163921,+0370855,21:48:55.521277
3.885905,-0715424,-0583094,3.888975,-1163461,+0371312,21:48:55.521277
3.895954,-0716795,-0583142,3.899024,-1163255,+0371294,21:48:55.521277
3.906033,-0715709,-0583073,3.909104,-1164025,+0371041,21:48:55.567959
3.916108,-0716159,-0583062,3.929272,-1163040,+0370930,21:48:55.567959
3.936255,-0716609,-0583191,3.939326,-1163565,+0371291,21:48:55.567959
3.946323,-0716890,-0583131,3.949395,-1163427,+0370800,21:48:55.567959
3.956375,-0715951,-0583085,3.959447,-1164088,+0371179,21:48:55.615163
3.966470,-0716122,-0583160,3.969541,-1162734,+0370822,21:48:55.615163
3.976524,-0716603,-0583059,3.979595,-1163845,+0371218,21:48:55.615163
3.996632,-0715369,-0583099,3.999703,-1163689,+0370808,21:48:55.615163
4.006698,-0715807,-0583165,4.009768,-1163922,+0371053,21:48:55.662774
4.016855,-0715997,-0583096,4.019925,-1163212,+0370920,21:48:55.662774
4.026909,-0716848,-0583146,4.029981,-1163890,+0371312,21:48:55.662774
4.036969,-0715430,-0583067,4.040040,-1163606,+0370853,21:48:55.662774
4.057097,-0715985,-0583154,4.060170,-1164238,+0371221,21:48:55.708733
4.067191,-0715873,-0583199,4.070261,-1163284,+0371040,21:48:55.708733
4.077285,-0716791,-0583141,4.080356,-1163502,+0371332,21:48:55.708733
4.087337,-0715346,-0583082,4.090409,-1163733,+0370920,21:48:55.757782
4.107486,-0716615,-0583171,4.110561,-1164169,+0371195,21:48:55.757782
4.117580,-0715804,-0583179,4.120651,-1163162,+0371082,21:48:55.757782
4.127636,-0716770,-0583054,4.130707,-1163762,+0370866,21:48:55.757782
4.137686,-0715589,-0583063,4.140757,-1163856,+0370795,21:48:55.807734
4.147767,-0716559,-0583041,4.150840,-1163022,+0371069,21:48:55.807734
4.168004,-0716073,-0583153,4.171077,-1164062,+0371211,21:48:55.807734
4.178063,-0716878,-0583130,4.181133,-1163698,+0370818,21:48:55.807734
4.188124,-0715367,-0583194,4.191195,-1164010,+0371174,21:48:55.807734
4.198217,-0716589,-0583101,4.201288,-1162992,+0371125,21:48:55.864943
4.208308,-0716213,-0583220,4.221471,-1164071,+0371031,21:48:55.864943
4.228456,-0715501,-0583011,4.231527,-1163517,+0370753,21:48:55.867950
4.238508,-0715517,-0583156,4.241578,-1163981,+0371355,21:48:55.867950
4.248569,-0716385,-0583124,4.251640,-1162979,+0370980,21:48:55.910510
4.258640,-0716378,-0583145,4.261718,-1164081,+0371228,21:48:55.911515
4.268759,-0715588,-0583200,4.271829,-1163347,+0370747,21:48:55.911515
4.288863,-0717060,-0583192,4.291933,-1163467,+0371245,21:48:55.912507
