===BEGIN_METADATA===
Test Name: 2026-06-16_195024_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration
Loads (N): 5 35 70,Positions (mm): 60 100 120 154
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.422997,-320,-153,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.426231,-316,-210,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.429462,-346,-117,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.432706,-11,-187,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.43594,-275,-149,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.439171,-175,-66,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.442402,-241,-112,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.44564,-102,-173,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.448871,-383,-34,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.452105,-50,-253,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.455346,-312,-335,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.458576,-166,-162,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.461807,73,15,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.465045,-234,-23,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.468276,-93,-216,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.471506,-204,-154,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.474745,-190,-208,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.477975,-12,-164,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.481222,-353,-47,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.484468,-328,-229,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.487701,-141,-165,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.490932,-288,-90,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.494172,-282,-110,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.497402,-268,-2,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.500633,-283,-321,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.503871,-251,9,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.507106,-257,-232,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.510337,-276,-117,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
