===BEGIN_METADATA===
Test Name: 2026-06-10_190300_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 001 003 005
ICB-Sensor A's Latest Calibration: 2026-06-10_120245,kA1: 351744.8279932664,dA1: 0.0047992474300278,cA1: 574.4369624970714,kA2: 347604.75378667994,dA2: 0.0452453444842415,cA2: 26.023574759543408
ICB-Sensor C's Latest Calibration: 2026-06-10_123441,kC1: 404490.3474918268,dC1: 0.0058500260575673,cC1: -424.13011759193614,kC2: 405133.76531753375,dC2: 0.0464478645606266,cC2: -666.3897116323351
ICB-Sensor E's Latest Calibration: 2026-06-10_125420,kE1: 400701.3726474917,dE1: 0.0048205226419293,cE1: 882.2936293203384,kE2: 414755.3371693164,dE2: 0.0469718114713248,cE2: 464.95427689049393
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.207625,+0748360,+1069512,0.207767,+0573272,+1042771,0.208130,+1081179,+1143016,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.210855,+0748371,+1069676,0.211002,+0573301,+1042758,0.211360,+1080971,+1142710,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.214085,+0748307,+1069745,0.214232,+0573195,+1042693,0.214588,+1081135,+1142920,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.217311,+0748427,+1069658,0.217460,+0573177,+1042568,0.217816,+1081000,+1142743,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.220538,+0748494,+1069741,0.220693,+0573315,+1042674,0.221047,+1081140,+1142722,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.223767,+0748290,+1069564,0.223921,+0573274,+1042535,0.224275,+1081119,+1142966,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.226992,+0748301,+1069678,0.227152,+0573412,+1042546,0.227503,+1081186,+1143028,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.230220,+0748342,+1069509,0.230381,+0573414,+1042486,0.230731,+1080903,+1142788,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.233452,+0748349,+1069530,0.233613,+0573357,+1042649,0.233959,+1081194,+1142965,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.236677,+0748342,+1069618,0.236843,+0573293,+1042707,0.237186,+1081174,+1143010,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.239904,+0748370,+1069812,0.240076,+0573448,+1042721,0.240414,+1081029,+1142868,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.243136,+0748426,+1069462,0.243306,+0573297,+1042483,0.243642,+1080970,+1142929,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.246362,+0748323,+1069680,0.246534,+0573318,+1042593,0.246870,+1081180,+1142866,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.249593,+0748207,+1069504,0.249766,+0573233,+1042641,0.250100,+1081189,+1142811,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.252897,+0748207,+1069587,0.253001,+0573233,+1042627,0.253361,+1081123,+1142862,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.256159,+0748336,+1069611,0.256230,+0573234,+1042625,0.256589,+1081227,+1142744,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.259386,+0748281,+1069731,0.259460,+0573282,+1042532,0.259820,+1081180,+1142744,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.262621,+0748394,+1069645,0.262689,+0573389,+1042648,0.263051,+1081133,+1142865,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.265847,+0748211,+1069523,0.265919,+0573210,+1042530,0.266279,+1081102,+1142910,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.269074,+0748448,+1069483,0.269147,+0573202,+1042842,0.269511,+1081061,+1142978,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.272305,+0748188,+1069710,0.272376,+0573308,+1042576,0.272742,+1081138,+1142676,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.275532,+0748253,+1069424,0.275606,+0573354,+1042580,0.275970,+1081061,+1142844,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.278757,+0748341,+1069578,0.278837,+0573501,+1042483,0.279200,+1081067,+1143070,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.281986,+0748355,+1069568,0.282065,+0573175,+1042590,0.282430,+1080892,+1142912,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.285211,+0748399,+1069550,0.285296,+0573151,+1042796,0.285660,+1081150,+1142755,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.288438,+0748330,+1069489,0.288524,+0573110,+1042698,0.288889,+1081145,+1142814,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.441690
0.291667,+0748435,+1069545,0.291755,+0573355,+1042506,0.292119,+1080981,+1142942,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.294892,+0748214,+1069573,0.294983,+0573364,+1042622,0.295347,+1081106,+1142928,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.298117,+0748207,+1069505,0.298212,+0573328,+1042490,0.298575,+1081166,+1142780,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.301432,+0748359,+1069647,0.301506,+0573285,+1042866,0.301829,+1080941,+1142858,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.304673,+0748417,+1069764,0.304736,+0573426,+1042801,0.305056,+1080882,+1142819,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.307900,+0748485,+1069523,0.307967,+0573434,+1042672,0.308286,+1080914,+1142888,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.311129,+0748414,+1069561,0.311202,+0573392,+1042499,0.311542,+1081115,+1142912,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.314372,+0748499,+1069745,0.314431,+0573376,+1042639,0.314770,+1081178,+1142811,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.317599,+0748316,+1069583,0.317659,+0573234,+1042566,0.318001,+1081157,+1142807,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.320828,+0748365,+1069622,0.320894,+0573270,+1042700,0.321230,+1081075,+1142887,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.324064,+0748311,+1069726,0.324124,+0573262,+1042676,0.324460,+1081137,+1142848,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.327291,+0748273,+1069658,0.327353,+0573344,+1042393,0.327689,+1081056,+1142937,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.330518,+0748330,+1069430,0.330584,+0573282,+1042693,0.330917,+1081077,+1142904,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.333751,+0748139,+1069483,0.333814,+0573196,+1042552,0.334147,+1081079,+1142940,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.336976,+0748244,+1069534,0.337043,+0573351,+1042618,0.337375,+1080905,+1142866,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.340202,+0748389,+1069592,0.340274,+0573205,+1042586,0.340603,+1081146,+1143108,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.343432,+0748448,+1069793,0.343504,+0573186,+1042585,0.343833,+1081068,+1142729,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.346659,+0748353,+1069794,0.346732,+0573200,+1042710,0.347062,+1080996,+1142624,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.474866
0.349884,+0748420,+1069525,0.349963,+0573270,+1042697,0.350291,+1080975,+1142830,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.353113,+0748297,+1069619,0.353195,+0573463,+1042421,0.353520,+1080851,+1143039,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.356346,+0748345,+1069550,0.356424,+0573496,+1042634,0.356748,+1081238,+1142976,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.359625,+0748269,+1069537,0.359690,+0573169,+1042700,0.359986,+1081041,+1142935,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.362866,+0748380,+1069727,0.362928,+0573411,+1042643,0.363242,+1081117,+1142742,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.366095,+0748297,+1069531,0.366156,+0573411,+1042537,0.366471,+1081130,+1142991,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.369323,+0748370,+1069598,0.369385,+0573338,+1042689,0.369701,+1081025,+1142687,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.372553,+0748260,+1069643,0.372615,+0573161,+1042467,0.372929,+1081027,+1142859,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.375779,+0748270,+1069575,0.375844,+0573324,+1042551,0.376157,+1080940,+1143087,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.379004,+0748183,+1069713,0.379072,+0573324,+1042694,0.379385,+1081141,+1142894,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.382235,+0748163,+1069674,0.382301,+0573207,+1042744,0.382616,+1081062,+1142953,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.385460,+0748334,+1069627,0.385529,+0573368,+1042555,0.385847,+1081058,+1142874,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.388687,+0748351,+1069551,0.388758,+0573465,+1042490,0.389080,+1081056,+1142921,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.391918,+0748342,+1069573,0.391986,+0573258,+1042620,0.392308,+1081008,+1142865,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.395143,+0748362,+1069601,0.395215,+0573191,+1042650,0.395536,+1081109,+1142845,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.398369,+0748252,+1069659,0.398443,+0573273,+1042559,0.398764,+1081019,+1142818,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.541988
0.401610,+0748364,+1069693,0.401672,+0573442,+1042560,0.401992,+1081368,+1142971,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.575216
0.404841,+0748450,+1069549,0.404955,+0573254,+1042657,0.405221,+1081146,+1142913,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.575216
