===BEGIN_METADATA===
Test Name: 2026-06-10_115136_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration
Loads (N): 5 35 60,Positions (mm): 60 75 95
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 001
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.299113,-83,10,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.302339,-250,93,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.305572,-184,-121,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.308799,-6,-56,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.312026,-163,-29,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.315291,-278,-87,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.318517,-98,-58,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.32175,-143,-99,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.324993,-22,-41,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.328218,-131,-5,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.331445,-23,38,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.33468,-118,50,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.337907,-20,40,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.341134,25,-136,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.344368,14,-86,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.347595,-136,-119,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.350824,-41,-11,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.354053,-98,-151,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.357288,-57,65,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.360514,-125,-113,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.363748,-116,134,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.366976,-98,-192,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.370201,-150,-52,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.373434,-146,-71,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.376663,-105,-71,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.379888,-77,33,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.383125,20,-72,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.386353,-192,147,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.389578,-70,-73,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.392805,50,-103,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.39604,-157,-62,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.399266,-93,120,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.402493,60,-69,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.405728,-75,-221,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.408953,-34,14,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.41218,-156,179,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.415415,-119,166,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.41864,-163,-81,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.421868,-169,100,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.425113,280,60,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.428338,-200,-61,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.431563,-25,110,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.434798,-200,14,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.438023,-11,-106,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.44125,102,16,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.444486,-23,-6,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.447711,-124,80,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.45094,-138,121,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.454171,-105,17,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.457404,-134,-121,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.46063,-92,125,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.463863,-95,-52,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.467092,-21,-134,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.470317,-38,88,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.473552,-138,118,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.476781,-148,119,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.480007,73,103,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.48324,-163,114,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.486471,-25,-23,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.489698,81,-89,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.492925,-156,86,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.177923
0.496161,-285,-14,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.499388,44,63,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.502618,-29,95,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.505937,68,249,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.509241,-80,54,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.512493,-86,-51,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.51574,-82,-37,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.518965,-152,-123,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.52219,-151,-148,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.525426,-150,-323,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.528651,-1,-246,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.531878,-93,8,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.535115,22,-55,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.538341,-147,4,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.541569,-207,-29,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.544805,-91,-71,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.548032,-153,-40,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.551259,-80,23,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.554494,-87,-80,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.557724,-8,-113,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.560967,-25,94,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.564234,-73,-35,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.567461,-107,-190,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.570692,30,10,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.573933,20,-154,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.577162,-93,-125,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.580389,-181,43,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
