===BEGIN_METADATA===
Test Name: 2026-06-10_190041_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 002 004 011
ICB-Sensor A's Latest Calibration: 2026-02-28_191825,kA1: 285806.85492483515,dA1: 0.0038186954053924,cA1: 1779.0295562932731,kA2: 278780.10405734595,dA2: 0.0456960408628126,cA2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-26_195246,kC1: 327901.7793019196,dC1: 0.0055431319529345,cC1: 1092.3920580442064,kC2: 331651.3310431668,dC2: 0.0445085069339955,cC2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2027-02-28_181436,kE1: 349273.60227475094,dE1: 0.0045245532907721,cE1: 1102.3374494942836,kE2: 346675.0994387471,dE2: 0.0451524381538289,cE2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.182069,+1474060,+0831993,0.182673,+0814062,+0543823,0.182733,+0692199,+0590579,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.185299,+1474468,+0831901,0.185913,+0814007,+0543469,0.185972,+0692069,+0590612,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.188530,+1473925,+0832120,0.189152,+0814172,+0543251,0.189210,+0692120,+0590797,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.191766,+1473635,+0831957,0.192391,+0813660,+0543354,0.192451,+0692062,+0590664,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.195001,+1474106,+0831954,0.195631,+0814201,+0543499,0.195690,+0692160,+0590758,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.198231,+1474209,+0831921,0.198870,+0813945,+0543705,0.198928,+0692039,+0590514,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.201471,+1474413,+0831961,0.202113,+0813814,+0543548,0.202197,+0692275,+0590640,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.204800,+1474203,+0832133,0.205375,+0813999,+0543417,0.205435,+0692192,+0590709,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.208036,+1473840,+0832077,0.208616,+0813946,+0543435,0.208674,+0692053,+0590637,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.211268,+1473984,+0831978,0.211870,+0814051,+0543422,0.211930,+0692120,+0590671,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.214499,+1474286,+0831984,0.215110,+0813986,+0543615,0.215169,+0692033,+0590699,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.217730,+1474418,+0832128,0.218352,+0814048,+0543360,0.218410,+0692140,+0590919,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.220960,+1474214,+0832075,0.221595,+0814077,+0543419,0.221654,+0692006,+0590596,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.224191,+1473899,+0832160,0.224834,+0813933,+0543642,0.224894,+0692016,+0590716,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.227423,+1473940,+0831953,0.228074,+0813946,+0543720,0.228133,+0692055,+0590553,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.230658,+1474342,+0831989,0.231313,+0814217,+0543211,0.231373,+0692114,+0590619,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.233898,+1474257,+0832141,0.234554,+0814280,+0543653,0.234614,+0692178,+0590745,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.237129,+1474039,+0832300,0.237794,+0813836,+0543505,0.237853,+0692237,+0590774,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
0.240361,+1473940,+0832100,0.241035,+0814102,+0543389,0.241093,+0692080,+0590508,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.806057
