Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.222332,+0018962,+0622619,0.222448,-8388608,-8388608,0.222510,+0301577,-0141500,0.223578,-0398856,+0614905,0.221703,+0852799,+0378280,20:51:46.635279
0.225581,+0018925,+0622311,0.225687,-8388608,-8388608,0.225746,+0301372,-0141530,0.226387,-0398881,+0615040,0.224513,+0852922,+0378369,20:51:46.635279
0.228826,+0018968,+0622575,0.228975,-8388608,-8388608,0.229033,+0301517,-0141446,0.229193,-0398769,+0614943,0.227299,+0852842,+0378088,20:51:46.635279
0.232115,+0018956,+0622554,0.232213,-8388608,-8388608,0.232329,+0301341,-0141486,0.234902,-0398903,+0615155,0.232873,+0852574,+0377874,20:51:46.635279
0.235377,+0018861,+0622794,0.235450,-8388608,-8388608,0.235567,+0300923,-0141498,0.237718,-0399078,+0615301,0.235703,+0852279,+0378290,20:51:46.635279
0.238627,+0019038,+0622625,0.238688,-8388608,-8388608,0.238805,+0301064,-0141486,0.240529,-0399186,+0615137,0.238521,+0852209,+0378331,20:51:46.635279
0.241873,+0018852,+0622516,0.241992,-8388608,-8388608,0.242051,+0301275,-0141371,0.243337,-0399200,+0614970,0.241311,+0852288,+0378493,20:51:46.635279
0.245120,+0018852,+0622630,0.245228,-8388608,-8388608,0.245286,+0301275,-0141522,0.246157,-0398932,+0615041,0.244111,+0851960,+0378152,20:51:46.635279
0.248372,+0018599,+0622644,0.248464,-8388608,-8388608,0.248581,+0300967,-0141346,0.248962,-0399068,+0614892,0.246904,+0852220,+0378510,20:51:46.635279
0.251617,+0018822,+0622868,0.251703,-8388608,-8388608,0.251827,+0300933,-0141251,0.251767,-0399262,+0614946,0.249691,+0852294,+0378309,20:51:46.635279
0.254889,+0018788,+0622522,0.254962,-8388608,-8388608,0.255065,+0301358,-0141534,0.254610,-0398973,+0615077,0.252486,+0852788,+0378183,20:51:46.635279
0.258202,+0018741,+0622567,0.258261,-8388608,-8388608,0.258321,+0301228,-0141641,0.257448,-0399118,+0615333,0.258142,+0852730,+0378064,20:51:46.635279
0.261448,+0018843,+0622666,0.261509,-8388608,-8388608,0.261568,+0301172,-0141425,0.260255,-0399063,+0614982,0.260957,+0852572,+0378146,20:51:46.635279
0.264711,+0018738,+0622509,0.264825,-8388608,-8388608,0.264883,+0301479,-0141327,0.263147,-0398993,+0615080,0.263767,+0852312,+0378243,20:51:46.635279
0.268016,+0018900,+0622487,0.268075,-8388608,-8388608,0.268134,+0301499,-0141451,0.265954,-0399009,+0615063,0.266563,+0852716,+0378035,20:51:46.635279
0.271262,+0019007,+0622830,0.271322,-8388608,-8388608,0.271381,+0301263,-0141413,0.268759,-0398683,+0615076,0.269351,+0852723,+0377935,20:51:46.635279
0.274514,+0018862,+0622628,0.274573,-8388608,-8388608,0.274687,+0301488,-0141563,0.274414,-0399116,+0615132,0.272140,+0852662,+0378104,20:51:46.635279
0.277813,+0018970,+0622468,0.277871,-8388608,-8388608,0.277931,+0301417,-0141603,0.277220,-0398767,+0614937,0.277755,+0852876,+0378202,20:51:46.635279
0.281057,+0019165,+0622608,0.281117,-8388608,-8388608,0.281176,+0301140,-0141778,0.280027,-0398830,+0614863,0.280541,+0852734,+0378175,20:51:46.635279
0.284327,+0018915,+0622607,0.284386,-8388608,-8388608,0.284445,+0301244,-0141571,0.282863,-0398943,+0615245,0.283327,+0852691,+0378134,20:51:46.635279
0.287579,+0019024,+0622666,0.287638,-8388608,-8388608,0.287697,+0301442,-0141537,0.285671,-0398943,+0614835,0.286126,+0852834,+0378005,20:51:46.636300
0.290825,+0019092,+0622632,0.290883,-8388608,-8388608,0.290941,+0301433,-0141423,0.288476,-0398833,+0615100,0.288914,+0852708,+0378292,20:51:46.701499
0.294077,+0018903,+0622704,0.294329,-8388608,-8388608,0.294269,+0301373,-0141723,0.294200,-0398927,+0614968,0.294490,+0852779,+0378098,20:51:46.701499
0.297396,+0018827,+0622515,0.297622,-8388608,-8388608,0.297504,+0301081,-0141386,0.297023,-0398968,+0615104,0.297337,+0852444,+0378027,20:51:46.701499
0.300642,+0018846,+0622695,0.300859,-8388608,-8388608,0.300740,+0301020,-0141457,0.299839,-0398971,+0614862,0.300123,+0852292,+0378357,20:51:46.701499
0.307157,+0018796,+0622538,0.307382,-8388608,-8388608,0.307216,+0301396,-0141500,0.305461,-0399084,+0615022,0.305702,+0852883,+0378118,20:51:46.701499
0.310402,+0018896,+0622444,0.310621,-8388608,-8388608,0.310460,+0301483,-0141476,0.308345,-0398874,+0614812,0.308492,+0852844,+0378090,20:51:46.701499
0.313646,+0019032,+0622825,0.313857,-8388608,-8388608,0.313711,+0301432,-0141693,0.311153,-0398737,+0614840,0.311283,+0852901,+0378057,20:51:46.701499
0.316934,+0018951,+0622805,0.317142,-8388608,-8388608,0.316993,+0301445,-0141433,0.316793,-0398909,+0615087,0.316876,+0852532,+0378206,20:51:46.701499
0.320179,+0018934,+0622484,0.320379,-8388608,-8388608,0.320238,+0301327,-0141480,0.319630,-0398958,+0614897,0.319690,+0852447,+0377949,20:51:46.701499
0.323425,+0018907,+0622702,0.323626,-8388608,-8388608,0.323491,+0301320,-0141606,0.322438,-0398967,+0614971,0.322504,+0852763,+0378144,20:51:46.701499
0.326676,+0018906,+0622557,0.326913,-8388608,-8388608,0.326795,+0301461,-0141509,0.325365,-0399006,+0614872,0.325307,+0852759,+0378129,20:51:46.701499
0.329937,+0018789,+0622692,0.330150,-8388608,-8388608,0.330031,+0301330,-0141542,0.328257,-0398941,+0614996,0.328129,+0852526,+0378315,20:51:46.701499
